Vehicle_Count,Congestion_Level
83,0
160,0
313,1
473,1
418,1
285,1
132,0
91,0
474,1
150,0
55,0
229,0
331,1
369,1
275,1
492,1
489,1
364,1
414,1
278,1
426,1
338,1
486,1
199,0
326,1
247,0
119,0
161,0
53,0
399,1
380,1
495,1
367,1
399,1
144,0
201,0
360,1
186,0
296,1
436,1
292,1
80,0
89,0
278,1
85,0
457,1
272,1
55,0
371,1
269,1
124,0
53,0
384,1
183,0
167,0
418,1
143,0
484,1
111,0
490,1
243,0
384,1
252,1
441,1
75,0
484,1
222,0
349,1
182,0
375,1
459,1
167,0
373,1
324,1
261,1
274,1
69,0
162,0
189,0
96,0
50,0
139,0
191,0
369,1
87,0
342,1
431,1
188,0
405,1
382,1
308,1
210,0
439,1
227,0
59,0
310,1
456,1
187,0
221,0
435,1
